Species,Query sequence,Database sequence,Percent identity,Alignment length,Number of mismatches,Number of gap openings,Start of alignment in query,End of alignment in query,Start of alignment in subject,End of alignment in subject,Expectation value,Bit score
vit,NP_000974.1,XP_003633625.1,70.37,108,29,2,21,126,18,124,3.17e-36,120.0
vit,NP_000974.1,XP_010659646.1,69.444,108,30,2,21,126,18,124,3.17e-35,118.0
vit,NP_000974.1,XP_002269845.1,66.972,109,33,2,11,117,8,115,4.31e-34,115.0
pla,NP_000974.1,XP_001349308.1,50.0,100,49,1,19,118,40,138,3.77e-33,111.0
ory,NP_000974.1,XP_015630925.1,64.865,111,35,3,19,126,22,131,4.8e-34,115.0
ory,NP_000974.1,XP_015647764.1,64.865,111,35,3,19,126,21,130,2.1200000000000002e-33,114.0
lei,NP_000974.1,XP_001687026.1,44.34,106,54,3,21,123,26,129,3.11e-28,99.4
lei,NP_000974.1,XP_001686907.1,44.34,106,54,3,21,123,26,129,3.11e-28,99.4
ara,NP_000974.1,NP_974229.1,65.517,116,37,2,13,126,10,124,4.66e-36,120.0
ara,NP_000974.1,NP_187207.1,65.517,116,37,2,13,126,10,124,4.66e-36,120.0
ara,NP_000974.1,NP_001078112.1,65.517,116,37,2,13,126,10,124,4.66e-36,120.0
ara,NP_000974.1,NP_198129.1,66.667,99,30,2,19,115,16,113,7.04e-30,104.0
ara,NP_000974.1,NP_171782.1,56.154,130,52,4,1,128,1,127,1.78e-28,101.0
